Pénznem,Devizanév,Egység,Forintban kifejezett érték
AUD,ausztrál dollár,1,"220,78"
BGN,bolgár leva,1,"186,54"
BRL,brazil reál,1,"55,54"
CAD,kanadai dollár,1,"235,89"
CNY,kínai jüan,1,"46,52"
CZK,cseh korona,1,"13,35"
DKK,dán korona,1,"49,02"
GBP,angol font,1,"403,12"
HKD,hongkongi dollár,1,"40,22"
HRK,horvát kuna,1,"48,12"
IDR,indonéz rúpia,100,"2,12"
ILS,izraeli sékel,1,"92,19"
INR,indiai rúpia,1,"4,25"
ISK,izlandi korona,1,"2,24"
JPY,japán jen,100,"296,21"
KRW,dél-koreai won,100,"27,20"
MXN,mexikói peso,1,"14,65"
MYR,maláj ringgit,1,"75,12"
NOK,norvég korona,1,"33,26"
NZD,új-zélandi dollár,1,"205,82"
PHP,fülöp-szigeteki peso,1,"6,41"
PLN,lengyel zloty,1,"80,02"
RON,román lej,1,"74,82"
RSD,szerb dinár,1,"3,10"
RUB,orosz rubel,1,"4,00"
SEK,svéd korona,1,"35,20"
SGD,szingapúri dollár,1,"229,41"
THB,thai bát,1,"10,00"
TRY,török líra,1,"39,27"
UAH,ukrán hrivnya,1,"10,99"
ZAR,dél-afrikai rand,1,"18,81"
